© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
tyrphostin AG490	-2.216	-2.216	-1.987	N/A	-2.216	-2.216	-2.216	-2.216
WRN	-1.904	-1.904	-1.904	-1.904	-1.904	-1.904	-1.904	-1.904
TGM2	2.236	2.236	N/A	2.236	2.0	2.236	2.0	2.236
S100A9	2.168	2.168	N/A	2.168	2.168	2.168	2.168	2.168
camptothecin	1.99	1.99	1.483	1.75	1.99	1.99	1.99	1.99
DUSP1	-1.76	-1.76	-2.103	-2.308	-1.54	-1.76	-1.76	-2.13
nifedipine	-2.219	-2.219	N/A	-1.982	-1.982	-2.219	-2.219	-2.219
D-glucose	1.632	1.632	1.968	1.698	1.382	1.632	2.606	2.411
N-acetyl-L-cysteine	-2.161	-2.161	N/A	-1.953	-2.161	-2.161	-2.161	-2.161
CG	2.029	2.029	1.219	1.718	2.029	2.029	2.029	1.83
VEGFA	2.187	2.187	N/A	1.976	2.187	2.187	1.949	2.187
TICAM1	1.913	1.913	1.637	1.913	1.913	1.913	1.913	1.637
BHLHE40	2.164	2.164	1.929	1.929	2.164	2.164	1.929	N/A
PI3K (complex)	1.95	2.183	N/A	1.95	1.95	1.95	2.183	2.183
TRADD	2.0	2.0	N/A	2.0	2.0	2.0	2.0	2.0
GPS2	-2.0	-2.0	N/A	-2.0	-2.0	-2.0	-2.0	-2.0
AS1842856	-2.0	-2.0	N/A	-2.0	-2.0	-2.0	-2.0	-2.0
taurocholic acid	2.0	2.0	N/A	2.0	2.0	2.0	2.0	2.0
NfkB-RelA	1.998	1.998	N/A	1.998	1.998	1.998	1.998	1.998
resatorvid	-1.985	-1.985	N/A	-1.985	-1.985	-1.985	-1.985	-1.985
TCIM	1.982	1.982	N/A	1.982	1.982	1.982	1.982	1.982
GPR15LG	1.982	1.982	1.982	N/A	1.982	1.982	1.982	1.982
MET	1.98	1.98	N/A	1.98	1.98	1.98	1.98	1.98
Ro31-8220	-1.98	-1.98	N/A	-1.98	-1.98	-1.98	-1.98	-1.98
Ni2+	1.98	1.98	N/A	1.98	1.98	1.98	1.98	1.98
RAC1	1.977	1.977	N/A	1.977	1.977	1.977	1.977	1.977
MAPK7	1.977	1.977	1.977	1.977	N/A	1.977	1.977	1.977
adavosertib	1.977	1.977	1.977	1.977	1.977	1.977	1.977	N/A
caffeic acid phenethyl ester	-1.977	-1.977	N/A	-1.977	-1.977	-1.977	-1.977	-1.977
MAPK8	1.741	1.741	1.981	1.981	1.446	1.741	1.446	1.741
IKBKG	2.008	2.008	1.195	1.195	1.793	2.008	1.793	1.793
FLI1	1.969	1.969	N/A	1.969	1.969	1.969	1.969	1.969
NFKBIB	1.969	1.969	N/A	1.969	1.969	1.969	1.969	1.969
S100A8	1.966	1.966	N/A	1.966	1.966	1.966	1.966	1.966
tetrathiomolybdate	-1.964	-1.964	N/A	-1.964	-1.964	-1.964	-1.964	-1.964
sulforafan	-1.96	-1.96	N/A	-1.96	-1.96	-1.96	-1.96	-1.96
RIPK2	1.96	1.96	N/A	1.96	1.96	1.96	1.96	1.96
IRAK1	1.96	1.96	N/A	1.96	1.96	1.96	1.96	1.96
YAP1	1.954	1.954	1.095	1.398	1.954	1.954	1.695	1.695
glucosamine	-1.954	-1.954	N/A	-1.954	-1.954	-1.954	-1.954	-1.954
PP1	-1.953	-1.953	N/A	-1.953	-1.953	-1.953	-1.953	-1.953
homocysteine	1.951	1.951	N/A	1.951	1.951	1.951	1.951	1.951
BAPTA-AM	-1.949	-1.949	N/A	-1.949	-1.949	-1.949	-1.949	-1.949
anakinra	-1.948	-1.948	N/A	-1.948	-1.948	-1.948	-1.948	-1.948
pemetrexed	1.702	1.702	1.702	1.702	1.702	1.702	1.702	1.702
IL35	-1.941	-1.941	N/A	-1.941	-1.941	-1.941	-1.941	-1.941
FIRRE	1.941	1.941	N/A	1.941	1.941	1.941	1.941	1.941
sirolimus	-1.726	-1.726	-1.564	-1.854	-1.726	-1.726	-1.726	-1.472
IL15	1.776	1.776	1.216	1.776	1.776	1.776	1.483	1.776
HBB	-1.664	-1.664	-1.664	-1.664	-1.664	-1.664	-1.664	-1.664
HMOX1	-1.857	-1.857	N/A	-1.857	-1.857	-1.857	-1.857	-1.857
AKT	1.606	1.606	1.71	1.612	1.606	1.606	1.606	1.606
SPRY2	-2.236	-2.236	N/A	N/A	-2.236	-2.236	-2.0	-2.0
WWTR1	-1.561	-1.561	-1.981	-1.308	-1.561	-1.561	-1.561	-1.561
estrogen	1.982	2.219	N/A	N/A	1.982	1.982	2.219	2.219
di(2-ethylhexyl) phthalate	1.432	1.432	1.98	1.432	1.432	1.432	1.98	1.432
tretinoin	1.381	1.381	2.402	1.868	1.041	1.381	1.393	1.611
tetrachlorodibenzodioxin	1.56	1.56	1.56	1.56	1.206	1.56	1.56	1.56
erlotinib	1.48	1.48	1.48	1.915	1.219	1.48	1.48	1.48
TREX1	-2.0	-2.0	N/A	-2.0	-2.0	-2.0	-2.0	N/A
AREG	2.0	2.0	N/A	N/A	2.0	2.0	2.0	2.0
MAP4K1	-2.0	-2.0	N/A	N/A	-2.0	-2.0	-2.0	-2.0
infliximab	-2.0	-2.0	N/A	N/A	-2.0	-2.0	-2.0	-2.0
cholesterol	1.529	1.529	1.273	1.529	1.529	1.529	1.529	1.529
IL12 (complex)	1.993	1.993	N/A	1.993	1.993	1.993	N/A	1.993
EDN1	1.987	1.987	N/A	1.987	N/A	1.987	1.987	1.987
ethanol	1.744	1.744	N/A	1.433	1.744	1.744	1.744	1.744
RNASEH2B	-1.982	-1.982	N/A	-1.982	-1.982	-1.982	-1.982	N/A
PTGS2	1.325	1.325	1.325	1.325	1.325	1.325	1.969	1.969
1-palmitoyl-2-oleoylphosphatidylserine	1.98	1.98	N/A	N/A	1.98	1.98	1.98	1.98
topotecan	-1.98	-1.98	-1.98	-1.98	-1.98	-1.98	N/A	N/A
palbociclib	1.483	1.483	1.483	1.483	1.483	1.483	1.483	1.483
Ca2+	1.974	1.974	N/A	1.974	N/A	1.974	1.974	1.974
ANGPT2	1.969	1.969	N/A	1.969	1.969	1.969	1.969	N/A
IL7	1.969	1.969	N/A	1.969	1.969	1.969	N/A	1.969
LDLR	-1.406	-1.406	-1.951	-1.406	-1.406	-1.406	-1.406	-1.406
histamine	1.965	1.965	N/A	N/A	1.965	1.965	1.965	1.965
MEOX2	-1.964	-1.964	N/A	N/A	-1.964	-1.964	-1.964	-1.964
MAPK9	1.964	1.964	N/A	N/A	1.964	1.964	1.964	1.964
IL12B	1.518	1.518	1.153	1.518	1.518	1.518	1.518	1.518
ionomycin	1.961	1.961	N/A	N/A	1.961	1.961	1.961	1.961
BDNF	1.954	1.954	N/A	N/A	1.954	1.954	1.954	1.954
MAVS	1.671	1.671	1.671	1.671	1.671	1.671	1.671	N/A
Collagen type II	1.941	1.941	N/A	N/A	1.941	1.941	1.941	1.941
CCR2	1.452	1.452	1.452	1.452	1.452	1.452	1.452	1.452
LGALS1	1.935	1.935	N/A	N/A	1.935	1.935	1.935	1.935
IL3	1.516	1.516	1.253	1.253	1.516	1.516	1.516	1.516
Go 6976	-1.925	-1.925	N/A	N/A	-1.925	-1.925	-1.925	-1.925
trinitrobenzenesulfonic acid	1.913	1.913	N/A	N/A	1.913	1.913	1.913	1.913
apigenin	-1.477	-1.477	-1.131	-1.477	-1.477	-1.477	-1.477	-1.477
CD3 (complex)	1.496	1.496	1.241	1.496	1.496	1.496	1.241	1.496
ARID1A	-1.432	-1.432	-1.432	-1.42	-1.432	-1.432	-1.311	-1.528
ZEB1	1.902	1.902	N/A	N/A	1.902	1.902	1.902	1.902
fluticasone propionate	-1.392	-1.392	-1.088	-1.392	-1.937	-1.392	-1.392	-1.392
PLX5622	1.342	1.342	1.0	1.0	2.0	1.342	2.0	1.342
actinomycin D	-1.868	-1.868	N/A	N/A	-1.868	-1.868	-1.868	-1.868
doxorubicin	1.352	1.352	2.402	0.821	1.352	1.352	1.453	1.034
TREM1	1.369	1.369	1.369	1.369	1.1	1.369	1.369	1.803
IL11	-1.827	-1.249	N/A	-1.827	-1.827	-1.827	-1.249	-1.249
OGT	1.567	1.151	1.567	1.567	1.3	1.567	1.151	1.151
mir-223	-1.402	-1.402	-1.402	-1.402	-1.959	-1.402	-1.096	-0.61
PPARG	-1.362	-1.362	-1.103	-1.755	-1.362	-1.362	-0.894	-1.467
imatinib	-1.432	-1.432	N/A	-1.98	-1.432	-1.432	-1.432	-1.432
NOTCH1	-1.06	-1.32	-1.949	-1.474	-1.06	-1.06	-1.32	-1.32
ERBB2	1.301	1.301	1.731	N/A	1.301	1.301	1.731	1.731
berberine	-1.481	-1.481	N/A	-1.481	-1.481	-1.481	-1.481	-1.481
VEGF	1.438	1.438	0.744	1.142	1.201	1.438	1.438	1.438
HGF	1.287	1.287	1.943	0.811	1.035	1.287	1.287	1.287
simvastatin	-1.429	-1.429	N/A	-1.961	-1.429	-1.429	-1.201	-1.201
NOD2	1.528	1.528	N/A	N/A	1.528	1.528	1.961	1.961
acetaminophen	1.522	1.522	N/A	1.959	1.522	1.522	N/A	1.959
SMARCA4	2.0	2.0	N/A	N/A	N/A	2.0	2.0	2.0
ELAVL1	-2.0	-2.0	N/A	-2.0	-2.0	-2.0	N/A	N/A
H89	-1.082	-1.082	-1.974	-1.498	-1.082	-1.082	-1.082	-1.082
MYB	-1.387	-1.387	-1.067	-1.067	-1.387	-1.387	-1.067	-1.067
IRF1	1.961	1.961	N/A	1.961	1.961	1.961	N/A	N/A
15-deoxy-delta-12,14 -PGJ 2	-0.987	-0.987	-1.205	-1.544	-0.987	-0.987	-1.544	-1.544
TCF7L2	1.96	1.452	N/A	N/A	1.96	1.96	1.165	1.165
TP63	0.956	1.238	1.408	1.109	0.64	0.956	1.673	1.673
FGF2	1.336	1.529	N/A	1.026	1.336	1.336	1.529	1.529
ESR2	1.236	1.236	0.862	1.236	1.236	1.236	1.236	1.236
paclitaxel	1.183	1.183	1.183	1.183	1.183	1.183	1.183	1.183
