© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
histamine	N/A	N/A	1.89	1.89	2.134	2.134	1.889	N/A
SMAD7	1.074	0.77	0.84	0.12	-2.749	-2.377	-1.718	-0.275
SAA	1.997	1.097	N/A	N/A	1.417	1.417	1.997	1.997
CTNNB1	-1.435	-1.497	-0.218	1.233	2.446	1.837	1.16	-0.094
palmitic acid	1.73	0.662	1.673	1.412	0.725	1.064	1.149	1.498
PRKCD	-0.861	-0.272	0.619	N/A	2.574	2.574	2.184	0.821
Cdkn2a	1.941	N/A	N/A	N/A	2.0	2.0	2.0	1.941
TYROBP	1.976	N/A	N/A	N/A	1.976	1.976	1.976	1.976
diethylstilbestrol	-2.915	-2.622	N/A	-1.414	0.673	-0.398	-0.298	-1.542
IL6R	0.206	-0.053	0.784	N/A	2.56	2.56	2.377	1.268
cyclosporin A	-1.307	-0.823	-1.389	-1.321	-1.161	-0.939	-1.106	-1.724
hydrocortisone	0.465	0.929	0.214	0.943	-2.027	-1.669	-2.458	-1.042
NLRX1	-1.14	-1.71	-0.686	N/A	-1.385	-1.268	-1.524	-1.954
F2R	0.0	0.827	N/A	N/A	2.568	2.379	1.956	1.933
EDN1	-0.708	N/A	N/A	N/A	2.937	2.607	2.201	1.183
TWIST1	-1.098	-1.29	-0.294	-0.128	2.894	1.591	2.181	0.146
miR-29b-3p (and other miRNAs w/seed AGCACCA)	2.332	1.162	0.83	N/A	-2.916	-1.951	N/A	0.422
D-fructose	-0.554	-0.94	-0.94	N/A	2.219	1.981	1.981	0.958
PSMB11	2.333	1.633	1.134	0.447	-3.0	N/A	N/A	1.0
NR3C1	1.246	0.862	0.761	-0.262	-2.584	-1.726	-1.808	-0.287
IL18	1.256	N/A	N/A	N/A	2.121	2.121	2.121	1.906
morphine	1.963	1.933	1.933	N/A	1.743	1.949	N/A	N/A
CCN2	N/A	-1.944	N/A	N/A	2.739	2.394	1.743	0.694
PLX5622	1.977	1.109	N/A	N/A	1.201	1.556	1.947	1.72
AKT	-0.0	-1.019	-0.168	0.367	2.347	1.881	2.391	1.309
rosiglitazone	0.763	0.633	0.734	-0.619	-2.431	-2.416	-1.301	0.569
LCN2	0.371	-0.105	0.883	N/A	2.437	2.437	2.223	0.943
LACTB	2.121	2.63	N/A	N/A	-2.63	-2.0	N/A	N/A
tributyrin	1.698	1.0	1.0	N/A	1.698	1.698	1.131	1.131
EGLN	0.293	0.293	N/A	N/A	-2.433	-1.982	-2.383	-1.934
hyaluronic acid	0.487	N/A	1.067	1.432	2.153	1.936	2.196	N/A
CHUK	0.768	-0.071	0.944	0.113	2.323	1.955	1.955	1.142
tretinoin	0.265	0.289	0.16	-0.169	3.243	2.355	1.746	1.026
adavosertib	0.508	0.057	N/A	N/A	2.446	2.234	1.998	1.998
NLRP3	0.982	0.532	-1.0	N/A	1.709	1.709	1.887	1.403
methotrexate	-2.374	-2.157	-1.387	-2.219	0.422	-0.077	-0.353	0.21
BMP2	-0.092	0.093	N/A	N/A	2.811	2.568	2.384	1.219
aspirin	-0.951	-0.895	-0.928	-0.218	-1.86	-1.86	-1.622	-0.832
dihydrotestosterone	-0.031	0.113	0.085	-0.663	3.244	2.039	2.259	0.722
APOE	-1.22	-1.143	-1.143	-0.864	-1.118	-1.461	-2.194	N/A
MM-589	1.51	1.982	1.067	N/A	-1.912	-1.387	-1.0	-0.277
PTC-209	1.51	1.982	1.067	N/A	-1.912	-1.387	-1.0	-0.277
LDL	1.872	1.359	0.375	0.859	1.574	1.902	0.412	0.78
RRAS2	0.0	-0.447	N/A	N/A	2.828	2.449	2.236	1.134
IL13	-0.368	-0.696	0.814	0.85	1.981	1.647	1.533	1.186
STX18	-2.236	-2.0	N/A	N/A	2.828	2.0	N/A	N/A
AHR	1.529	1.29	1.824	1.92	-0.966	-0.155	-0.095	1.263
artesunic acid	0.522	N/A	N/A	N/A	-2.828	-2.449	-2.236	-1.0
PDGFB	-1.342	-1.951	-0.9	N/A	2.404	N/A	1.966	0.464
dexmedetomidine	-0.426	N/A	N/A	N/A	-2.566	-2.373	-2.166	-1.48
Scd1	-1.0	N/A	N/A	N/A	-2.0	-2.0	-2.0	-2.0
melatonin	-1.201	-0.532	-0.912	N/A	-0.818	-1.191	-2.169	-2.168
NFAT5	0.968	1.351	1.002	0.415	0.933	1.339	0.737	2.227
MAPK9	1.308	0.958	1.253	1.253	1.178	1.561	1.446	N/A
resveratrol	0.19	1.262	0.376	0.344	-1.934	-1.542	-2.211	-1.088
FGFR1	-1.411	-1.991	N/A	N/A	2.519	2.219	N/A	0.776
CIP2A	1.446	1.976	N/A	1.751	-1.805	-1.172	-0.762	-0.0
Sb202190	-0.993	N/A	N/A	N/A	-2.381	-2.381	-2.164	-0.993
ITGB1	1.87	0.988	0.988	0.882	0.691	1.022	1.177	1.257
CXCL12	-0.71	-0.981	-1.591	-1.245	1.592	1.295	0.945	0.418
ALDH1A2	1.912	1.387	1.0	1.0	-2.449	-1.0	N/A	N/A
IFN beta	1.122	N/A	1.114	1.114	1.729	1.729	1.927	N/A
CREBBP	0.218	-0.577	0.577	0.577	2.611	2.2	1.964	N/A
CpG oligonucleotide	1.475	1.091	0.728	1.091	2.165	2.165	N/A	N/A
VH032	N/A	N/A	N/A	N/A	2.236	2.236	2.236	2.0
PF543	N/A	N/A	N/A	N/A	-2.236	-2.236	-2.236	-2.0
IOX2	N/A	N/A	N/A	N/A	2.236	2.236	2.236	2.0
CCL2	1.074	N/A	N/A	1.406	1.539	1.539	1.711	1.391
pyrrolidine dithiocarbamate	-1.24	N/A	-1.119	-1.94	-2.161	-2.161	N/A	N/A
MAOA	N/A	N/A	N/A	N/A	2.213	2.213	2.213	1.98
raloxifene	-1.8	-1.0	0.577	0.896	1.706	1.463	1.089	0.084
trichostatin A	1.177	1.414	-0.25	0.356	0.982	1.888	1.32	1.223
Bay 11-7082	-0.537	N/A	N/A	-1.955	-2.186	-1.948	-1.984	N/A
EGR1	0.574	0.69	0.69	1.425	2.606	2.606	N/A	N/A
aflatoxin B1	0.447	1.0	N/A	N/A	2.646	2.236	2.236	N/A
TREX1	N/A	N/A	N/A	N/A	-2.2	-2.2	-2.2	-1.964
nickel chloride	1.103	0.313	N/A	N/A	1.729	1.729	1.949	1.729
PI3K (family)	1.934	N/A	N/A	N/A	1.373	1.373	1.934	1.934
GRIN1	-2.236	-2.236	N/A	-2.0	0.333	0.0	0.378	-1.342
MAP3K8	1.556	0.468	0.468	0.106	1.644	1.425	1.425	1.425
DRD2	0.816	0.816	0.447	0.816	1.633	1.633	1.342	1.0
PLG	0.628	0.147	N/A	N/A	2.11	2.11	1.965	1.519
TNFSF11	0.669	N/A	N/A	1.944	2.109	2.109	1.625	N/A
E. coli B5 lipopolysaccharide	0.868	N/A	1.206	1.476	1.783	1.783	1.325	N/A
GW9662	0.96	0.927	0.927	1.949	1.471	1.255	0.83	-0.109
miR-21-5p (and other miRNAs w/seed AGCUUAU)	0.99	N/A	N/A	N/A	-2.364	-1.949	-2.164	-0.945
estrogen	-1.239	-1.299	0.239	0.436	1.256	0.9	1.611	1.391
medroxyprogesterone acetate	-1.32	-0.57	-1.633	-1.195	1.611	1.34	0.259	0.419
metformin	0.553	1.236	0.811	-0.116	-2.077	-1.638	-1.5	-0.405
FN1	1.076	N/A	N/A	1.005	1.952	2.341	1.921	N/A
AR	-0.501	0.44	1.671	1.298	1.401	1.015	1.51	0.455
TP53	-1.11	-0.927	-0.636	-0.159	2.321	1.553	0.997	-0.557
ZEB1	-1.706	-1.969	N/A	-1.98	1.26	1.329	N/A	N/A
TLR9	0.997	N/A	N/A	0.683	1.812	1.812	1.574	1.352
forskolin	1.547	1.332	1.035	-0.035	1.256	0.725	1.224	1.05
tetrachlorodibenzodioxin	0.49	-0.314	0.44	0.391	1.949	1.724	1.887	1.008
insulin	-1.116	-0.906	-1.076	0.121	2.393	1.528	0.49	-0.564
IL11	-0.124	N/A	1.091	1.732	1.823	1.572	1.525	0.317
CAT	0.479	0.842	0.537	-0.064	-1.876	-1.65	-2.219	-0.505
losartan potassium	0.465	0.537	0.061	N/A	-2.274	-2.426	-1.62	-0.777
MAP3K14	-0.485	N/A	-0.277	0.152	2.804	2.213	2.213	N/A
MAP2K1	-0.625	N/A	0.152	N/A	2.19	2.19	1.982	1.0
cholesterol	-0.04	0.033	-0.397	0.04	1.864	2.188	2.188	1.318
carbon tetrachloride	0.07	-0.832	0.374	0.651	2.328	2.105	1.656	-0.045
bucladesine	2.152	1.314	N/A	-0.293	0.542	0.951	0.881	1.884
PKC	-0.179	-0.747	-0.372	N/A	2.412	1.969	1.71	0.623
ADAM17	1.408	1.0	N/A	N/A	1.673	1.408	1.408	1.109
mir-218 (includes others)	-2.0	N/A	N/A	N/A	-2.0	-2.0	-2.0	N/A
GFI1	-2.0	N/A	N/A	N/A	-2.0	-2.0	-2.0	N/A
ADORA3	N/A	N/A	2.0	N/A	2.0	2.0	2.0	N/A
verteporfin	0.595	1.131	N/A	N/A	-2.15	-1.709	-1.921	-0.483
phytohemagglutinin	0.047	N/A	N/A	N/A	2.382	2.382	1.959	1.183
troglitazone	0.161	-0.204	-0.511	-1.74	-1.822	-1.9	-1.365	0.239
