© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Factors Promoting Cardiogenesis in Vertebrates	1.21E00	2.65E-02	NaN	ACVR1C,BMP2,NOX4,PLCZ1	
Apelin Adipocyte Signaling Pathway	1.18E00	3.19E-02	NaN	CP,NOX4,PTGES	
Fructose metabolism	1.18E00	1.43E-01	NaN	ALDH1A1	
IL-10 Signaling	1.18E00	2.58E-02	NaN	BMP2,IL1A,IL1B,TLR4	
Elastic fibre formation	1.16E00	4.55E-02	NaN	BMP2,MFAP5	
TAK1-dependent IKK and NF-kappa-B activation	1.16E00	4.55E-02	NaN	IRAK2,SAA1	
Aspirin ADME	1.16E00	4.55E-02	NaN	SLCO2B1,UGT1A1	
Crosstalk between Dendritic Cells and Natural Killer Cells	1.14E00	3.06E-02	NaN	CD28,CSF2,TLR4	
HEY1 Signaling Pathway	1.13E00	2.48E-02	NaN	ACVR1C,BMP2,MFAP5,MMP24	
MIF Regulation of Innate Immunity	1.13E00	4.35E-02	NaN	PLA2G4C,TLR4	
IL-23 Signaling Pathway	1.13E00	4.35E-02	NaN	CSF2,IL1B	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.12E00	2.18E-02	NaN	ADAMTS4,BMP2,CSF2,IL1A,IL1B	
Adenine and Adenosine Salvage III	1.12E00	1.25E-01	NaN	ADA	
Purine Ribonucleosides Degradation to Ribose-1-phosphate	1.12E00	1.25E-01	NaN	ADA	
Xenobiotic Metabolism CAR Signaling Pathway	1.1E00	2.15E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,UGT1A1	
Antimicrobial peptides	1.08E00	4.08E-02	NaN	EPPIN,HTN1	
iNOS Signaling	1.08E00	4.08E-02	NaN	IRAK2,TLR4	
OAS antiviral response	1.07E00	1.11E-01	NaN	OAS2	
Atorvastatin ADME	1.07E00	1.11E-01	NaN	SLCO2B1	
Integration of energy metabolism	1.04E00	2.78E-02	NaN	ABCC8,CACNA1D,CD36	
IL-12 Signaling and Production in Macrophages	1.04E00	2.07E-02	NaN	CSF2,POU2F2,SAA4,SERPINA1,TLR4	
Serotonin Receptor Signaling	1.03E00	1.7E-02	NaN	CACNA1D,CXCL8,IL1B,IL4I1,KCNJ6,KCNQ3,PLA2G4C,PLCZ1	
Neurotransmitter clearance	1.03E00	1E-01	NaN	ALDH2	
Retinol Biosynthesis	1.01E00	3.7E-02	NaN	DHRS3,PNLIPRP3	
Phase I - Functionalization of compounds	1E00	2.65E-02	NaN	ALDH1A1,ALDH2,CYP2C18	
Lymphotoxin β Receptor Signaling	9.93E-01	3.64E-02	NaN	CXCL1,VCAM1	
Phenylalanine and tyrosine metabolism	9.88E-01	9.09E-02	NaN	IL4I1	
Aspartate and asparagine metabolism	9.88E-01	9.09E-02	NaN	GADL1	
Pexophagy	9.88E-01	9.09E-02	NaN	EPAS1	
Prostanoid Biosynthesis	9.88E-01	9.09E-02	NaN	PTGES	
Glycine Betaine Degradation	9.88E-01	9.09E-02	NaN	SDS	
Glutaminergic Receptor Signaling Pathway (Enhanced)	9.87E-01	1.84E-02	NaN	CACNA1D,DGKB,GABRB3,PLA2G4C,PLCZ1,SCN1A	
NLR signaling pathways	9.8E-01	3.57E-02	NaN	IRAK2,TNFAIP3	
Neutrophil Extracellular Trap Signaling Pathway	9.61E-01	1.71E-02	NaN	COL9A2,CXCL8,IL1B,NOX4,PLA2G4C,PLCZ1,TLR4	
Role of IL-17A in Arthritis	9.55E-01	3.45E-02	NaN	CXCL1,CXCL8	
