© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
ABC-family proteins mediated transport	8.94E-01	2.48E-02	NaN	ABCA6,ABCA8,ABCA9	
Glucose metabolism	8.94E-01	2.48E-02	NaN	ENO2,NAD ,PFKFB4	
IL-15 Production	8.87E-01	2.46E-02	NaN	EPHA3,IL6,PDGFRA	
Presynaptic depolarization and calcium channel opening	8.73E-01	7.14E-02	NaN	CACNB4	
LGI-ADAM interactions	8.73E-01	7.14E-02	NaN	DLG4	
Dissolution of Fibrin Clot	8.73E-01	7.14E-02	NaN	PLAT	
Transcriptional regulation of testis differentiation	8.73E-01	7.14E-02	NaN	PTGDS	
Arginine Degradation I (Arginase Pathway)	8.73E-01	7.14E-02	NaN	NAD 	
Aspartate Degradation II	8.73E-01	7.14E-02	NaN	NAD 	
Phase II - Conjugation of compounds	8.7E-01	2.08E-02	NaN	NAD ,NAT2,SULT4A1,UGT1A7	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	8.47E-01	2.04E-02	NaN	ACP5,ATP1A2,PPP1R3C,PXYLP1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	8.47E-01	2.04E-02	NaN	ACP5,ATP1A2,PPP1R3C,PXYLP1	
Trafficking and processing of endosomal TLR	8.45E-01	6.67E-02	NaN	TLR7	
Carnitine synthesis	8.45E-01	6.67E-02	NaN	NAD 	
Signaling by PDGF	8.45E-01	3.08E-02	NaN	PDGFRA,PLAT	
Dermatan Sulfate Biosynthesis (Late Stages)	8.45E-01	3.08E-02	NaN	HS6ST3,SULT4A1	
IL-6 Signaling	8.35E-01	2.33E-02	NaN	IL33,IL6,LBP	
CDX Gastrointestinal Cancer Signaling Pathway	8.25E-01	2E-02	NaN	IL33,IL6,TNFSF13B,TNFSF14	
L1CAM interactions	8.21E-01	2.29E-02	NaN	DLG4,ITGA1,SPTBN2	
Renin-Angiotensin Signaling	8.21E-01	2.29E-02	NaN	AGTR1,CCL2,CCL5	
Gαs Signaling	8.21E-01	2.29E-02	NaN	GPER1,PTGIR,RAPGEF4	
HDR through MMEJ (alt-NHEJ)	8.19E-01	6.25E-02	NaN	NAD 	
Threonine catabolism	8.19E-01	6.25E-02	NaN	NAD 	
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	8.19E-01	6.25E-02	NaN	NAD 	
4-hydroxybenzoate Biosynthesis	8.19E-01	6.25E-02	NaN	NAD 	
Regulation of lipid metabolism by PPARalpha	8.14E-01	2.27E-02	NaN	ANGPTL4,PLIN2,RORA	
Ion channel transport	8.14E-01	1.98E-02	NaN	ATP1A2,TRPM3,TRPM4,TTYH1	
Collagen degradation	8.14E-01	2.94E-02	NaN	COL14A1,COL8A1	
TNFR2 non-canonical NF-kB pathway	8.14E-01	2.94E-02	NaN	TNFSF13B,TNFSF14	
MHC class II antigen presentation	8.07E-01	2.26E-02	NaN	CTSF,CTSO,SPTBN2	
