© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Peptide hormone biosynthesis	8.61E-01	8.33E-02	NaN	PCSK1	
Hematopoiesis from Multipotent Stem Cells	8.61E-01	8.33E-02	NaN	CSF1	
Purine Nucleotides De Novo Biosynthesis II	8.61E-01	8.33E-02	NaN	ADSS1	
Cellular Effects of Sildenafil (Viagra)	8.59E-01	1.75E-02	NaN	ACVR1C,AGTR1,CACNB4,GPER1,GPR146,GPR68,HTR1F,ID1,IL6,LPAR1,PTGIR,SOD2	
Paxillin Signaling	8.5E-01	2.83E-02	NaN	ACTN2,ITGA1,ITGA7	
NAFLD Signaling Pathway	8.48E-01	2.23E-02	NaN	IL33,IL6,TLR7,TNFSF13B,TNFSF14	
Extracellular matrix organization	8.41E-01	2.8E-02	NaN	ITGA1,ITGA7,LAMA2	
Signaling by PTK6	8.36E-01	3.64E-02	NaN	EPAS1,GPNMB	
Role of Cytokines in Mediating Communication between Immune Cells	8.36E-01	3.64E-02	NaN	IL33,IL6	
Trafficking and processing of endosomal TLR	8.29E-01	7.69E-02	NaN	TLR7	
Dissolution of Fibrin Clot	8.29E-01	7.69E-02	NaN	PLAT	
Transcriptional regulation of testis differentiation	8.29E-01	7.69E-02	NaN	PTGDS	
ISGylation Signaling Pathway	8.24E-01	2.75E-02	NaN	IL6,IRF6,TLR7	
Phase II - Conjugation of compounds	8.24E-01	2.75E-02	NaN	NAT2,SULT4A1,UGT1A7	
Xenobiotic Metabolism AHR Signaling Pathway	8.24E-01	2.75E-02	NaN	ALDH1L1,IL6,UGT1A7	
Neurexins and neuroligins	8.11E-01	3.51E-02	NaN	DLG4,SYT1	
Regulation of Actin-based Motility by Rho	8.08E-01	2.7E-02	NaN	ITGA1,ITGA7,RHOU	
LGI-ADAM interactions	8E-01	7.14E-02	NaN	DLG4	
Nucleotide biosynthesis	8E-01	7.14E-02	NaN	ADSS1	
Signaling by PDGF	7.99E-01	3.45E-02	NaN	PDGFRA,PLAT	
Role of IL-17A in Arthritis	7.99E-01	3.45E-02	NaN	CCL2,CCL7	
Semaphorin Signaling in Neurons	7.87E-01	3.39E-02	NaN	PLXNA3,RHOU	
Binding and Uptake of Ligands by Scavenger Receptors	7.84E-01	2.63E-02	NaN	FTH1,JCHAIN,SCARF1	
G alpha (q) signalling events	7.8E-01	2.3E-02	NaN	AGTR1,GPR68,LPAR1,RGS5	
Senescence Pathway	7.8E-01	1.99E-02	NaN	ACVR1C,CACNB4,ELF3,IL6,PDK4,SOD2	
Iron uptake and transport	7.76E-01	3.33E-02	NaN	FTH1,HEPH	
Dermatan Sulfate Biosynthesis (Late Stages)	7.76E-01	3.33E-02	NaN	HS6ST3,SULT4A1	
Visual phototransduction	7.65E-01	3.28E-02	NaN	HSD17B1,RDH5	
Cerebral Malformation Signaling Pathway	7.61E-01	2.56E-02	NaN	CCL2,IL33,SOD2	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	7.54E-01	3.23E-02	NaN	DIO1,UGT1A7	
Neuregulin Signaling	7.53E-01	2.54E-02	NaN	DLG4,ITGA1,ITGA7	
Rap1 signalling	7.47E-01	6.25E-02	NaN	RAPGEF4	
Platelet Adhesion to exposed collagen	7.47E-01	6.25E-02	NaN	ITGA1	
Extrinsic Prothrombin Activation Pathway	7.47E-01	6.25E-02	NaN	TFPI	
Regulation of lipid metabolism by PPARalpha	7.46E-01	2.52E-02	NaN	ANGPTL4,PLIN2,RORA	
Bladder Cancer Signaling	7.46E-01	2.52E-02	NaN	FGF11,FGF7,MMP24	
NCAM signaling for neurite out-growth	7.43E-01	3.17E-02	NaN	CACNB4,SPTBN2	
Chondroitin Sulfate Biosynthesis (Late Stages)	7.43E-01	3.17E-02	NaN	HS6ST3,SULT4A1	
Collagen degradation	7.33E-01	3.12E-02	NaN	COL14A1,COL8A1	
Semaphorin interactions	7.33E-01	3.12E-02	NaN	ITGA1,PLXNA3	
Axonal Guidance Signaling	7.3E-01	1.74E-02	NaN	ADAM28,ADAMDEC1,EPHA3,ITGA1,ITGA7,MMP24,NTN5,PLXNA3,UNC5B	
Ion channel transport	7.27E-01	2.19E-02	NaN	ATP1A2,TRPM3,TRPM4,TTYH1	
IL-15 Production	7.24E-01	2.46E-02	NaN	EPHA3,IL6,PDGFRA	
Metabolism of folate and pterines	7.23E-01	5.88E-02	NaN	ALDH1L1	
Metabolism of Angiotensinogen to Angiotensins	7.23E-01	5.88E-02	NaN	ENPEP	
Transcriptional regulation of pluripotent stem cells	7.23E-01	5.88E-02	NaN	EPAS1	
Specification of the neural plate border	7.23E-01	5.88E-02	NaN	DLX5	
L1CAM interactions	7.1E-01	2.42E-02	NaN	DLG4,ITGA1,SPTBN2	
PXR/RXR Activation	7.03E-01	2.99E-02	NaN	CYP2A6,IL6	
RORA activates gene expression	7.01E-01	5.56E-02	NaN	RORA	
Metabolism of amine-derived hormones	7.01E-01	5.56E-02	NaN	DIO1	
Dermatan Sulfate Degradation (Metazoa)	7.01E-01	5.56E-02	NaN	IDUA	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	6.93E-01	2.12E-02	NaN	ACP5,ATP1A2,PPP1R3C,PXYLP1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	6.93E-01	2.12E-02	NaN	ACP5,ATP1A2,PPP1R3C,PXYLP1	
TNFR2 non-canonical NF-kB pathway	6.93E-01	2.94E-02	NaN	TNFSF13B,TNFSF14	
Glutamate Receptor Signaling	6.93E-01	2.94E-02	NaN	DLG4,GRIA3	
Gαs Signaling	6.89E-01	2.36E-02	NaN	GPER1,PTGIR,RAPGEF4	
MHC class II antigen presentation	6.83E-01	2.34E-02	NaN	CTSF,CTSO,SPTBN2	
Signaling by Activin	6.8E-01	5.26E-02	NaN	ACVR1C	
RHO GTPases activate CIT	6.8E-01	5.26E-02	NaN	DLG4	
GABA synthesis, release, reuptake and degradation	6.8E-01	5.26E-02	NaN	SYT1	
FOXO-mediated transcription	6.8E-01	5.26E-02	NaN	TXNIP	
IL-6 Signaling	6.76E-01	2.33E-02	NaN	IL33,IL6,LBP	
Pulmonary Fibrosis Idiopathic Signaling Pathway	6.73E-01	1.84E-02	NaN	ACVR1C,COL8A1,IL6,LPAR1,MMP24,PDGFRA	
Cardiac conduction	6.7E-01	2.31E-02	NaN	ATP1A2,FGF11,KCNIP2	
Chondroitin Sulfate Biosynthesis	6.65E-01	2.82E-02	NaN	HS6ST3,SULT4A1	
IL-33 Signaling Pathway	6.62E-01	2.05E-02	NaN	CCL2,CTRC,IL33,IL6	
Formation of ATP by chemiosmotic coupling	6.6E-01	5E-02	NaN	MT-ATP8	
Response to elevated platelet cytosolic Ca2+	6.57E-01	2.27E-02	NaN	ACTN2,PCDH7,SERPING1	
CDX Gastrointestinal Cancer Signaling Pathway	6.52E-01	2.03E-02	NaN	IL33,IL6,TNFSF13B,TNFSF14	
Dermatan Sulfate Biosynthesis	6.47E-01	2.74E-02	NaN	HS6ST3,SULT4A1	
CREB Signaling in Neurons	6.46E-01	1.62E-02	NaN	AGTR1,CACNB4,GPER1,GPR146,GPR68,GRIA3,HTR1F,LPAR1,PDGFRA,PTGIR	
Senescence-Associated Secretory Phenotype (SASP)	6.39E-01	2.7E-02	NaN	IGFBP7,IL6	
3-phosphoinositide Degradation	6.37E-01	2E-02	NaN	ACP5,ATP1A2,PPP1R3C,PXYLP1	
Neutrophil degranulation	6.33E-01	1.68E-02	NaN	AMPD3,BST2,C3,FTH1,HVCN1,SIRPB1,SLC2A5,SLPI	
ID1 Signaling Pathway	6.27E-01	1.98E-02	NaN	ACVR1C,ID1,IL6,RNF125	
Adrenomedullin signaling pathway	6.27E-01	1.98E-02	NaN	ADM,C3,IL33,TFAP2E	
NRF2-mediated Oxidative Stress Response	6.24E-01	1.85E-02	NaN	CYP2A6,CYP2E1,CYP2J2,FTH1,SOD2	
Chaperone Mediated Autophagy	6.24E-01	4.55E-02	NaN	PLIN2	
Fatty Acid α-oxidation	6.24E-01	4.55E-02	NaN	BCO2	
D-myo-inositol-5-phosphate Metabolism	6.17E-01	1.96E-02	NaN	ACP5,ATP1A2,PPP1R3C,PXYLP1	
RAF-independent MAPK1/3 activation	6.07E-01	4.35E-02	NaN	IL6	
Signaling by NODAL	6.07E-01	4.35E-02	NaN	ACVR1C	
Nephrin family interactions	6.07E-01	4.35E-02	NaN	ACTN2	
Nucleotide salvage	6.07E-01	4.35E-02	NaN	AMPD3	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	6.07E-01	4.35E-02	NaN	CCL2	
Role of Tissue Factor in Cancer	5.99E-01	1.92E-02	NaN	ACVR1C,CSF1,PDIA2,TFPI	
Caveolar-mediated Endocytosis Signaling	5.98E-01	2.53E-02	NaN	ITGA1,ITGA7	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	5.98E-01	2.53E-02	NaN	CCL2,IL6	
